SampleID	sample_num	depth	incubation_temp_C	incubation_time_d
p35m.-4C.0d	1	35	-4	0
p35m.12C.0d	9	35	12	0
p54m.4C.0d	17	54	4	0
p83m.-4C.0d	25	83	-4	0
p83m.12C.0d	33	83	12	0
Blank1	41	NA	NA	NA
p35m.-4C.7d	2	35	-4	7
p35m.12C.7d	10	35	12	7
p54m.4C.7d	18	54	4	7
p83m.-4C.7d	26	83	-4	7
p83m.12C.7d	34	83	12	7
Blank2	42	NA	NA	NA
p35m.-4C.30d	3	35	-4	30
p35m.12C.30d	11	35	12	30
p54m.4C.30d	19	54	4	30
p83m.-4C.30d	27	83	-4	30
p83m.12C.30d	35	83	12	30
p35m.-4C.180d	4	35	-4	180
p35m.12C.180d	12	35	12	180
p54m.4C.180d	20	54	4	180
p83m.-4C.180d	28	83	-4	180
p83m.12C.180d	36	83	12	180
p35m.4C.0d	5	35	4	0
p54m.-4C.0d	13	54	-4	0
p54m.12C.0d	21	54	12	0
p83m.4C.0d	29	83	4	0
pUS.12C.0d	37	US	12	0
p35m.4C.7d	6	35	4	7
p54m.-4C.7d	14	54	-4	7
p54m.12C.7d	22	54	12	7
p83m.4C.7d	30	83	4	7
pUS.12C.7d	38	US	12	7
p35m.4C.30d	7	35	4	30
p54m.-4C.30d	15	54	-4	30
p54m.12C.30d	23	54	12	30
p83m.4C.30d	31	83	4	30
pUS.12C.30d	39	US	12	30
p35m.4C.180d	8	35	4	180
p54m.-4C.180d	16	54	-4	180
p54m.12C.180d	24	54	12	180
p83m.4C.180d	32	83	4	180
pUS.12C.180d	40	US	12	180
