""	"Blank1"	"Blank2"	"p35m.-4C.0d"	"p35m.-4C.180d"	"p35m.-4C.30d"	"p35m.-4C.7d"	"p35m.12C.0d"	"p35m.12C.180d"	"p35m.12C.30d"	"p35m.12C.7d"	"p35m.4C.0d"	"p35m.4C.180d"	"p35m.4C.30d"	"p35m.4C.7d"	"p54m.-4C.0d"	"p54m.-4C.180d"	"p54m.-4C.30d"	"p54m.-4C.7d"	"p54m.12C.0d"	"p54m.12C.180d"	"p54m.12C.30d"	"p54m.12C.7d"	"p54m.4C.0d"	"p54m.4C.180d"	"p54m.4C.30d"	"p54m.4C.7d"	"p83m.-4C.0d"	"p83m.-4C.180d"	"p83m.-4C.30d"	"p83m.-4C.7d"	"p83m.12C.0d"	"p83m.12C.180d"	"p83m.12C.30d"	"p83m.12C.7d"	"p83m.4C.0d"	"p83m.4C.180d"	"p83m.4C.30d"	"p83m.4C.7d"	"pUS.12C.0d"	"pUS.12C.180d"	"pUS.12C.30d"	"pUS.12C.7d"
"ASV_1"	0	0	5431	11926	13389	7016	12855	18324	14422	5125	6148	21962	18890	7353	114475	97423	71936	123374	100450	23033	68787	88026	81700	44860	117085	81786	16693	14503	12625	11581	7271	3249	36911	8115	7449	30192	33831	9167	2004	565	731	585
"ASV_2"	0	0	4006	4658	5262	4324	5257	342	5579	3233	3084	83887	4748	3994	33	165	101	57	34	8097	66	0	49	66112	123	44	757	1345	835	2261	1510	19919	3036	2764	1158	24474	2833	1156	0	0	180	0
"ASV_3"	0	0	133	44	9	102	13	15	0	0	8	9	0	7	471	249	93	25	40	121178	129	0	0	35856	17	60	12	12	0	11	0	2395	39	13	139	95084	17	0	11	16	9	6
"ASV_4"	0	0	1439	2939	3193	1632	3421	14831	1954	4208	3631	1593	2557	1491	177	422	274	501	291	40462	208	131	0	120	774	167	2481	3658	696	3868	6640	4156	10386	7611	2771	26384	10738	3483	432	636	306	255
"ASV_5"	0	0	0	0	53	329	190	59	300	212	138	0	0	0	48	119	154	125	31	0	28	0	24	0	172	115	897	10767	417	41514	9639	512	3439	7407	17665	1042	18886	21356	0	0	0	0
"ASV_6"	0	0	991	890	1107	874	772	19953	1480	807	713	2073	853	1029	0	204	0	21	0	873	124	77	0	2539	114	28	86	360	83	206	190	34711	457	496	218	31690	937	110	0	21	127	0
"ASV_7"	0	0	0	0	0	0	0	24164	4220	53	0	2856	6838	0	112	867	266	153	67	11644	84	0	0	5214	1298	67	168	289	53	181	111	6328	5297	99	0	21661	343	222	24	0	26	43
"ASV_8"	0	0	5782	323	1180	5397	638	146	3328	1685	586	49772	390	2390	70	1410	198	162	97	0	100	0	31	0	566	149	347	527	0	489	474	61	910	697	247	1493	1074	188	0	0	0	0
"ASV_9"	0	0	2265	502	820	1168	1325	715	15234	7847	1275	79	616	781	351	2828	425	116	65	0	371	42	0	38	399	332	1317	1552	2162	3923	2010	192	2533	2259	1734	253	2998	1166	0	0	0	0
"ASV_10"	0	0	1236	847	1398	949	975	101	760	578	689	110	1535	1386	75	485	298	0	0	32	0	0	0	0	432	129	599	598	68	508	247	13	487	680	345	27	462	534	9495	9650	5902	7321
"ASV_11"	0	0	42	94	53	51	95	20	98	66	0	0	53	60	220	2118	627	271	121	0	253	121	0	0	1107	639	0	0	0	0	149	22567	421	553	0	0	363	0	218	9621	5114	0
"ASV_12"	0	0	0	97	171	168	216	0	238	159	176	0	146	0	162	1602	909	235	244	0	136	0	0	0	1335	410	684	1234	303	1547	455	0	1123	1740	526	15	1172	1515	7891	6545	6683	6017
"ASV_13"	0	0	0	0	0	0	0	40557	41	0	0	0	24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	95	0	12	0	0	0	0	62	51	0	0	0	0
"ASV_14"	0	0	236	222	195	455	570	79	545	332	315	59	216	404	0	0	0	0	0	0	0	0	0	0	0	0	3066	5791	1397	5222	3883	146	1140	2138	2640	254	6616	4549	0	0	0	0
"ASV_15"	0	0	0	0	0	0	0	0	0	0	0	3682	291	0	0	39	0	0	0	31	27698	0	0	0	0	0	0	0	0	0	0	255	2529	0	0	3876	0	0	0	0	0	0
"ASV_16"	0	0	1096	1117	1124	1236	2309	264	1908	1071	1691	108	1217	1214	161	898	597	270	113	45	420	0	0	65	1135	396	1906	3259	2395	2170	1324	75	641	1439	706	79	2175	1920	121	61	108	105
"ASV_17"	0	0	15	0	0	0	65	51	132	101	78	0	0	0	0	61	111	99	33	0	19	46	0	0	52	30	173	1184	100	9176	3207	164	864	1732	6553	333	8452	2634	0	0	0	0
"ASV_18"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	59	27	0	62	0	31	0	0	56	0	67	0	45	35	10551	6791	6669	7659
"ASV_19"	0	0	2964	3335	3721	2532	3842	453	3404	1605	3508	292	2867	2851	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	41	0	274	122	0	30	113	0	0	0	0	0
"ASV_20"	0	0	1753	1524	1768	1313	1676	102	861	1231	1155	115	2163	2065	0	171	0	31	46	0	0	0	0	0	0	0	49	0	45	308	216	0	203	182	124	0	355	259	3795	2133	3747	3014
"ASV_21"	0	0	1730	2440	2097	2537	3297	462	2815	1855	2383	276	2340	2294	0	0	0	0	0	0	0	0	0	0	0	0	469	659	46	600	573	71	568	797	309	0	1266	492	0	0	0	0
"ASV_22"	0	0	3168	1910	2321	3456	3876	339	2066	2680	2483	211	3052	3547	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	138	234	0	0	93	0	0	0	0	0
"ASV_23"	0	0	523	734	1082	425	3306	325	2634	1411	2594	107	1236	237	0	71	123	38	0	0	15	0	0	0	132	0	1559	3494	894	1771	468	64	717	1151	484	62	799	2850	24	17	0	7
"ASV_24"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	570	379	0	1259	3499	128	4666	7996	668	268	5184	801	0	3263	223	49
"ASV_25"	0	0	122	100	331	89	185	54	88	84	164	37	70	72	1937	1833	1803	5077	4323	59	972	1860	572	244	1749	2484	268	271	105	392	254	0	155	222	398	78	404	422	11	9	0	7
"ASV_26"	0	0	27	48	0	0	0	64	253	251	127	0	50	43	71	860	530	0	0	0	175	0	0	57	977	231	3495	4857	1675	1770	1012	49	770	1486	568	89	1914	2953	239	89	87	144
"ASV_27"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1184	351	1962	1197	2255	0	1479	6792	7491	0	0	1842	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
"ASV_28"	0	0	798	301	723	504	733	127	601	571	727	70	438	736	266	1539	690	800	456	0	734	810	901	52	1335	468	1263	964	348	931	804	49	703	564	401	48	1857	671	51	50	118	53
"ASV_29"	0	0	2186	1763	2825	3153	2249	418	1273	1943	1329	215	2501	1858	0	0	0	0	0	0	0	0	0	0	0	0	0	76	0	44	129	29	499	277	115	0	217	0	0	0	0	0
"ASV_30"	0	0	268	621	240	283	1636	217	1372	1101	978	60	597	361	0	67	0	0	0	0	67	0	0	0	199	0	1847	2275	2588	2099	755	53	570	781	494	0	1527	1503	27	0	0	18
"ASV_31"	0	0	966	2181	1878	790	3155	349	2497	1853	2335	179	1864	1308	0	0	0	0	0	0	0	0	0	0	0	0	92	112	67	222	112	31	129	90	64	0	172	231	0	0	0	0
"ASV_32"	0	0	0	0	76	85	187	47	1346	510	197	0	0	0	967	5811	1954	341	612	0	182	76	0	72	2584	673	173	360	815	254	420	65	935	505	0	38	776	326	0	0	0	0
"ASV_33"	0	0	0	199	153	145	304	0	213	188	135	0	142	160	45	320	181	0	82	0	0	0	0	0	332	54	749	1547	487	1464	672	0	370	718	627	25	1498	1546	2254	2453	1746	1406
"ASV_34"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	271	47	59	0	0	0	0	0	0	78	106	2461	2574	2140	2208	1343	39	778	1689	1011	62	2136	2161	0	0	0	0
"ASV_35"	0	0	753	786	711	570	858	155	685	502	299	105	662	728	0	61	0	14	0	0	50	0	0	0	136	0	1341	1527	766	1830	736	28	478	667	872	44	1971	1369	0	0	0	0
"ASV_36"	0	0	384	220	221	481	413	67	286	349	333	54	272	377	0	85	63	0	0	0	51	0	0	0	114	0	2535	2749	954	2035	556	0	269	375	501	59	1804	2774	53	13	39	21
"ASV_37"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	100	33	225	457	1710	0	3115	6855	352	82	4852	192	0	0	0	0
"ASV_38"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2766	3154	696	2571	1207	31	212	547	1443	60	1801	3329	0	0	0	0
"ASV_39"	0	0	483	634	421	592	696	84	667	306	453	46	327	526	0	0	0	0	0	0	0	0	0	0	0	0	1151	1751	1031	1388	1089	89	1161	1209	630	83	1702	977	0	0	0	0
