,gas,retention_time,peak_area,peak_height,correction_factor,file_name,sample_type,column,carrier
0,CO,2.544,10.9293,1.468,0.0004,data/GC_Data/Feb/03NOV22FID_TC_14.RES,p54m(12C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.128,1554.0269,181.069,0.0563,data/GC_Data/Feb/03NOV22FID_TC_14.RES,p54m(12C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.962,38078.8941,3926.129,4.8767,data/GC_Data/Feb/03NOV22FID_TC_14.RES,p54m(12C)7d_T3_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CH4,3.119,1057.8548,114.834,0.0383,data/GC_Data/Feb/20OCT22FID_TC_04.RES,p35m(-4C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,C02,3.968,14077.2666,1380.559,1.8028,data/GC_Data/Feb/20OCT22FID_TC_04.RES,p35m(-4C)7d_T4_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.546,8600.0666,1236.802,0.3291,data/GC_Data/Feb/20OCT22FID_TC_10.RES,0.25ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.114,8591.2200,1127.969,0.3113,data/GC_Data/Feb/20OCT22FID_TC_10.RES,0.25ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
2,C02,3.965,8761.3418,989.985,1.1220,data/GC_Data/Feb/20OCT22FID_TC_10.RES,0.25ml_1pc_mix,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
0,CO,2.537,32.7456,2.662,0.0013,data/GC_Data/Feb/01DEC22FID_TC_04.RES,p54m(-4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
1,CH4,3.126,507.3863,61.306,0.0184,data/GC_Data/Feb/01DEC22FID_TC_04.RES,p54m(-4C)180d_T2_0.5ml,2m 2mmID ShinCarbonST 80/100,Argon at 35psi
